timestamp_ms,window_id,scenario,label,free_heap,min_free_heap,heap_delta,max_alloc_heap,loop_avg_ms,loop_max_ms,loop_jitter_ms,wifi_rssi,tx_count,rx_count,tx_bytes,rx_bytes,transaction_rate,byte_rate,avg_inter_arrival_ms,transaction_count,reconnect_count,socket_errors,socket_duration_ms
414350,82,ANOMALY_COMBINED,1,320976,320976,0,286708,10.1662,12.2170,0.5717,-127,6,6,1536,768,2.3971,460.25,36.174,12,0,0,1.500
419353,83,NORMAL_IDLE,0,320976,320952,0,286708,9.9928,9.9930,0.0010,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
424356,84,NORMAL_IDLE,0,320976,320976,0,286708,9.9926,9.9940,0.0064,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
429359,85,NORMAL_IDLE,0,320976,320952,0,286708,9.9930,10.0850,0.0041,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
434362,86,NORMAL_IDLE,0,320976,320976,0,286708,9.9927,9.9940,0.0048,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
439365,87,NORMAL_IDLE,0,320976,320976,0,286708,4.9973,9.9160,0.1558,-127,5,5,640,320,2.0000,192.00,401.013,10,0,0,1.500
444368,88,NORMAL_PERIODIC,0,320976,320952,24,286708,4.9927,4.9930,0.0019,-127,5,5,640,320,2.0000,192.00,401.018,10,0,0,1.500
449371,89,NORMAL_PERIODIC,0,320976,320976,0,286708,4.9928,4.9940,0.0016,-127,5,5,640,320,2.0000,192.00,401.016,10,0,0,1.500
454374,90,NORMAL_PERIODIC,0,320976,320976,0,286708,4.9927,4.9940,0.0018,-127,5,5,640,320,2.0000,192.00,401.015,10,0,0,1.500
459377,91,NORMAL_PERIODIC,0,320976,320976,0,286708,4.9928,4.9940,0.0010,-127,5,5,640,320,2.0000,192.00,401.017,10,0,0,1.500
464380,92,NORMAL_PERIODIC,0,320976,320976,0,286708,4.9928,5.2120,0.0079,-127,8,8,2368,1184,3.1994,710.26,308.776,16,0,0,1.500
469383,93,NORMAL_VARIABLE,0,320976,320976,0,286708,4.9926,4.9930,0.0052,-127,6,6,2112,1056,2.4000,633.60,380.004,12,0,0,1.500
474386,94,NORMAL_VARIABLE,0,320976,320976,0,286708,4.9926,4.9940,0.0050,-127,6,6,1984,992,2.4000,595.20,357.921,12,0,0,1.500
479389,95,NORMAL_VARIABLE,0,320976,320976,0,286708,4.9928,4.9940,0.0005,-127,8,8,2304,1152,3.2000,691.20,310.950,16,0,0,1.500
484392,96,NORMAL_VARIABLE,0,320976,320952,24,286708,4.9927,4.9940,0.0026,-127,6,6,1856,928,2.4000,556.80,395.844,12,0,0,1.500
489395,97,NORMAL_VARIABLE,0,320976,320976,0,286708,0.0034,4.6940,0.0076,-127,100,100,25600,12800,40.0000,7680.00,24.774,200,0,0,1.500
494398,98,ANOMALY_HIGH_RATE,1,320976,320952,0,286708,0.0034,0.2090,0.0031,-127,100,100,25600,12800,40.0000,7680.00,24.759,200,0,0,1.500
499401,99,ANOMALY_HIGH_RATE,1,320976,320976,0,286708,0.0034,0.2090,0.0031,-127,100,100,25600,12800,40.0000,7680.00,24.750,200,0,0,1.500
504404,100,ANOMALY_HIGH_RATE,1,320976,320976,0,286708,0.0034,0.2090,0.0031,-127,100,100,25600,12800,40.0000,7680.00,24.750,200,0,0,1.500
509406,101,ANOMALY_HIGH_RATE,1,320976,320976,0,286708,0.0034,0.2090,0.0031,-127,100,100,25600,12800,40.0000,7680.00,24.746,200,0,0,1.500
514411,102,ANOMALY_HIGH_RATE,1,320976,320976,0,286708,4.5442,10.9930,1.4481,-127,9,9,1280,640,3.5978,383.77,139.235,18,0,0,1.500
519416,103,ANOMALY_BURST,1,320976,320976,0,286708,5.0044,10.9920,0.2648,-127,16,16,2048,1024,6.3974,614.15,78.311,32,0,0,1.500
