timestamp_ms,window_id,scenario,label,free_heap,min_free_heap,heap_delta,max_alloc_heap,loop_avg_ms,loop_max_ms,loop_jitter_ms,wifi_rssi,tx_count,rx_count,tx_bytes,rx_bytes,transaction_rate,byte_rate,avg_inter_arrival_ms,transaction_count,reconnect_count,socket_errors,socket_duration_ms
209139,41,NORMAL_IDLE,0,320992,320968,24,286708,9.9926,9.9930,0.0065,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
214142,42,NORMAL_IDLE,0,320992,320992,0,286708,9.9930,10.1380,0.0065,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
219145,43,NORMAL_IDLE,0,320992,320968,0,286708,9.9929,10.0350,0.0019,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
224148,44,NORMAL_IDLE,0,320992,320968,0,286708,9.9931,10.2020,0.0094,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
229151,45,NORMAL_IDLE,0,320992,320992,0,286708,9.9931,10.1670,0.0078,-127,0,0,0,0,0.0000,0.00,5000.000,0,0,0,0.000
234154,46,NORMAL_IDLE,0,320992,320968,0,286708,4.9976,10.0180,0.1590,-127,5,5,640,320,2.0000,192.00,401.023,10,0,0,1.500
239157,47,NORMAL_PERIODIC,0,320992,320992,0,286708,4.9930,5.1370,0.0046,-127,5,5,640,320,1.9996,191.96,401.035,10,0,0,1.500
244160,48,NORMAL_PERIODIC,0,320992,320992,0,286708,4.9929,5.0920,0.0032,-127,5,5,640,320,1.9996,191.96,401.030,10,0,0,1.500
249163,49,NORMAL_PERIODIC,0,320992,320968,0,286708,4.9930,5.2640,0.0086,-127,5,5,640,320,1.9996,191.96,401.047,10,0,0,1.500
254166,50,NORMAL_PERIODIC,0,320992,320992,0,286708,4.9931,5.3480,0.0112,-127,5,5,640,320,1.9996,191.96,401.056,10,0,0,1.500
259169,51,NORMAL_PERIODIC,0,320992,320992,0,286708,4.9927,4.9930,0.0045,-127,8,8,2048,1024,3.2000,614.40,287.820,16,0,0,1.500
264172,52,NORMAL_VARIABLE,0,320992,320992,0,286708,4.9929,4.9930,0.0014,-127,7,7,1408,704,2.8000,422.40,355.369,14,0,0,1.500
269175,53,NORMAL_VARIABLE,0,320992,320992,0,286708,4.9929,5.0540,0.0020,-127,5,5,1344,672,1.9996,403.12,421.027,10,0,0,1.500
